      step      Total_Energy   Magnetic_Energy             Electric_Energy   Particle_Total_Energy      Particle_Energy[0]      Particle_Energy[1]              rho_avg[0]              rho_avg[1]               vx_avg[0]               vy_avg[0]               vz_avg[0]               vx_avg[1]               vy_avg[1]               vz_avg[1]
         0      15727.328976          0.000000          0.0000000000000000            15727.328976             7862.070168             7865.258808               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         1      15727.328523          0.000000          0.0000000000005516            15727.328523             7862.069940             7865.258584               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         2      15727.327619          0.000000          0.0000000000021993            15727.327619             7862.069484             7865.258136               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         3      15727.326266          0.000000          0.0000000000049311            15727.326266             7862.068802             7865.257464               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         4      15727.324466          0.000000          0.0000000000087336            15727.324466             7862.067895             7865.256571               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         5      15727.322223          0.000000          0.0000000000135952            15727.322223             7862.066766             7865.255457               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         6      15727.319540          0.000000          0.0000000000195074            15727.319540             7862.065415             7865.254125               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         7      15727.316423          0.000000          0.0000000000264469            15727.316423             7862.063847             7865.252576               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         8      15727.312877          0.000000          0.0000000000344070            15727.312877             7862.062063             7865.250814               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
         9      15727.308907          0.000000          0.0000000000433746            15727.308907             7862.060067             7865.248840               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
        10      15727.304520          0.000000          0.0000000000533323            15727.304520             7862.057862             7865.246658               -0.079577                0.079577               -0.000004                0.000004                0.000001               -0.000004               -0.000008               -0.000006  
